date,Luminar Technologies,Ouster Inc,AEVA Technologies,Innoviz Technologies,isPartial
2024-12-22,18,7,0,9,False
2024-12-29,23,0,0,5,False
2025-01-05,62,0,0,13,False
2025-01-12,100,0,0,8,False
2025-01-19,24,0,0,11,False
2025-01-26,26,0,0,8,False
2025-02-02,23,5,0,8,False
2025-02-09,25,5,4,11,False
2025-02-16,23,5,0,8,False
2025-02-23,19,0,0,8,False
2025-03-02,19,0,0,7,False
2025-03-09,18,0,0,0,False
2025-03-16,66,5,7,4,False
2025-03-23,31,5,5,0,False
2025-03-30,13,0,6,0,False
2025-04-06,20,0,0,9,False
2025-04-13,19,0,0,4,False
2025-04-20,12,0,5,0,False
2025-04-27,17,0,0,0,False
2025-05-04,10,0,4,4,False
2025-05-11,29,0,14,7,False
2025-05-18,21,0,12,6,False
2025-05-25,17,0,5,0,False
2025-06-01,19,6,11,0,False
2025-06-08,20,10,13,5,False
2025-06-15,22,7,15,10,False
2025-06-22,20,6,27,8,False
2025-06-29,22,0,31,10,False
2025-07-06,21,5,21,6,False
2025-07-13,24,10,18,11,False
2025-07-20,24,5,17,15,False
2025-07-27,31,8,27,13,False
2025-08-03,37,25,40,34,False
2025-08-10,77,28,37,67,False
2025-08-17,53,18,32,22,False
2025-08-24,52,6,24,16,False
2025-08-31,37,10,18,16,False
2025-09-07,31,5,23,25,False
2025-09-14,49,8,21,13,False
2025-09-21,31,6,13,14,False
2025-09-28,37,8,15,14,False
2025-10-05,38,18,18,18,False
2025-10-12,33,19,15,14,False
2025-10-19,53,12,14,17,False
2025-10-26,73,15,12,12,False
2025-11-02,59,17,16,11,False
2025-11-09,47,15,19,20,False
2025-11-16,54,9,8,13,False
2025-11-23,33,15,6,5,False
2025-11-30,31,10,21,12,False
2025-12-07,26,3,9,2,False
2025-12-14,70,5,4,4,False
2025-12-21,62,5,5,8,True
